Reign,JulianStart,GregorianStart,Abbreviation,RegnalYear
William III,1694-12-28,,Wm. III,6
William III,1695-02-13,,Wm. III,7
William III,1696-02-13,,Wm. III,8
William III,1697-02-13,,Wm. III,9
William III,1698-02-13,,Wm. III,10
William III,1699-02-13,,Wm. III,11
William III,1700-02-13,,Wm. III,12
William III,1701-02-13,,Wm. III,13
William III,1702-02-13,,Wm. III,14
Anne,1702-03-08,,Anne,
George I,1714-08-01,,Geo. I,
George II,1727-06-11,,Geo. II,
George II,,1753-06-22,Geo. II,27
George II,,1754-06-22,Geo. II,28
George II,,1755-06-22,Geo. II,29
George II,,1756-06-22,Geo. II,30
George II,,1757-06-22,Geo. II,31
George II,,1758-06-22,Geo. II,32
George II,,1759-06-22,Geo. II,33
George II,,1760-06-22,Geo. II,34
George III,,1760-10-25,Geo. III,
George IV,,1820-01-29,Geo. IV,
William IV,,1830-06-26,Wm. IV,
Victoria,,1837-06-20,Vic.,
Edward VII,,1901-01-22,Edw. VII,
George V,,1910-05-06,Geo. V,
Edward VIII,,1936-01-20,Edw. VIII,
George VI,,1936-12-11,Geo. VI,
Elizabeth II,,1952-02-06,Eliz. II,
